Name, City, State, Zip, Address, Price, Date,
Novo Seattle, Seattle,WA,98115,6105 Roosevelt Way NE,$1050 - 1475,2020-05-10,
Maude Urban Living, Seattle,WA,98115,836 NE 67th St,$999 - 1450,2020-05-10,
Common Terry, Seattle,WA,98104,423 Terry Ave,$1150 - 1975,2020-05-10,
Common Madison, Seattle,WA,98122,1806 23rd Ave,$1000 - 1200,2020-05-10,
Sorento Flats, Seattle,WA,98122,1414 E Yesler Way,$995 - 1400,2020-05-10,
Rise on 67th, Seattle,WA,98115,829 NE 67th St,$1045 - 1975,2020-05-10,
Ballard 57 Apartments, Seattle,WA,98107,1731 NW 57th St,$1170 - 1650,2020-05-10,
Hana, Seattle,WA,98104,101 6th Ave S,$1225 - 1936,2020-05-10,
Lofts at the Junction, Seattle,WA,98116,4535 44th Ave SW,$1300 - 1425,2020-05-10,
Verve Apartments, Seattle,WA,98121,2720 4th Ave,$1640 - 2958,2020-05-10,
Oakwood Residence Seattle South Lake Union, Seattle,WA,98109,717 N Dexter Ave,$1799,2020-05-10,
Arrive, Seattle,WA,98121,2116 4th Ave,$2150 - 8495,2020-05-10,
Thornton Place, Seattle,WA,98125,337 NE 103rd St,$1612 - 2995,2020-05-10,
Vertex Off Broadway, Seattle,WA,98102,802 E Thomas St,$1559 - 3600,2020-05-10,
Kinects Tower, Seattle,WA,98101,1823 Minor Ave,$2050 - 4065,2020-05-10,
Alto Apartments, Seattle,WA,98121,311 Cedar St,$1828 - 3468,2020-05-10,
206 Bell, Seattle,WA,98121,206 BELL St,$1311 - 4751,2020-05-10,
The Post, Seattle,WA,98104,888 Western Ave,$1774 - 4951,2020-05-10,
Excelsior, Seattle,WA,98122,1535 Bellevue Ave,$1660 - 5905,2020-05-10,
Leeward, Seattle,WA,98109,1305 Dexter Ave N,$1790 - 3990,2020-05-10,
The Wilcox, Seattle,WA,98107,2003 NW 57th St,$1680 - 8057,2020-05-10,
Chroma SLU, Seattle,WA,98109,1212 Harrison St,$1955 - 4735,2020-05-10,
Koi, Seattle,WA,98107,1139 NW Market St,$1621 - 10000,2020-05-10,
Westhaven Apartments, Seattle,WA,98106,2201 SW Holden St,$1455 - 1770,2020-05-10,
The Shelby, Seattle,WA,98121,2201 4th Ave,$1515 - 3085,2020-05-10,
Element 42, Seattle,WA,98116,2641 42nd Ave SW,$1409 - 2081,2020-05-10,
Aura West Seattle, Seattle,WA,98126,4435 35th Ave SW,$1370 - 3252,2020-05-10,
Ballard on the Park, Seattle,WA,98107,2233 NW 58th St,$1614 - 3095,2020-05-10,
East Howe Steps, Seattle,WA,98102,1823 Eastlake Ave E,$1544 - 3674,2020-05-10,
Summit At Madison Park, Seattle,WA,98122,1819 23rd Ave,$1450 - 3640,2020-05-10,
The Loop, Seattle,WA,98115,407 NE 73rd St,$1515 - 1925,2020-05-10,
3030 Lake City, Seattle,WA,98125,3030 NE 143rd St,$1325 - 1625,2020-05-10,
Stack House, Seattle,WA,98109,1280 Harrison St,$1994 - 12367,2020-05-10,
The M, Seattle,WA,98105,4700 Brooklyn Ave NE,$1425 - 2075,2020-05-10,
Wilsonian, Seattle,WA,98105,4710 University Way NE,$1509 - 2019,2020-05-10,
2900 On First, Seattle,WA,98121,2900 1st Ave,$1780 - 4355,2020-05-10,
Augusta Apartments, Seattle,WA,98105,4041 Roosevelt Way NE,$2105 - 4950,2020-05-10,
The Eden Apartments, Seattle,WA,98109,602-602 Galer St,$2690 - 3055,2020-05-10,
Haller Post, Seattle,WA,98133,1130 N 115th St,$1744 - 2140,2020-05-10,
East Union, Seattle,WA,98122,Union St @ 23rd ave,$1968 - 3886,2020-05-10,
Skye at Belltown, Seattle,WA,98121,500 Wall St,$1550 - 6020,2020-05-10,
Cyrene, Seattle,WA,98101,50 University St,$2081 - 4640,2020-05-10,
Rianna, Seattle,WA,98122,810 12th Ave,$1447 - 3525,2020-05-10,
Cosmopolitan, Seattle,WA,98105,400 NE 45th St,Call for Rent,2020-05-10,
Union SLU, Seattle,WA,98109,905 Dexter Ave N,$1929 - 3683,2020-05-10,
The LeeAnn, Seattle,WA,98109,701 5th Ave N,$2025 - 4350,2020-05-10,
Greenhouse Apartments, Seattle,WA,98118,3701 S Hudson St,$2015 - 3100,2020-05-10,
The Danforth, Seattle,WA,98122,1425 Spring St,$2186 - 8372,2020-05-10,
The Enclave, Seattle,WA,98125,525 NE Northgate Way,$1255 - 2127,2020-05-10,
Prism, Seattle,WA,98125,10711 8th Ave NE,$1235 - 1950,2020-05-10,
Cedar Park Senior Affordable Apartments, Seattle,WA,98125,12740 30th Ave NE,$1309 - 1562,2020-05-10,
Epicenter, Seattle,WA,98103,620 N 34th St,$1815 - 8951,2020-05-10,
Youngstown Flats, Seattle,WA,98106,4040 26th Ave SW,$1345 - 3695,2020-05-10,
Union Park, Seattle,WA,98101,1310 Minor Ave,$1450 - 2668,2020-05-10,
The Perry, Seattle,WA,98104,1001 Minor Ave,$2080 - 5615,2020-05-10,
The Martin, Seattle,WA,98121,2105 5th Ave,$2085 - 8195,2020-05-10,
Dimension, Seattle,WA,98121,225 Cedar St,$1845 - 5610,2020-05-10,
The Whittaker, Seattle,WA,98116,4755 Fauntleroy Way SW,$1480 - 4140,2020-05-10,
The Summit at Lake Union, Seattle,WA,98109,1735 Dexter Ave N,$1501 - 4336,2020-05-10,
Promenade at the Park, Seattle,WA,98125,3215 NE 143rd St,$1251 - 6690,2020-05-10,
Willows Court, Seattle,WA,98125,12316 28th Ave NE,$1633 - 2695,2020-05-10,
Astro Apartments, Seattle,WA,98109,315 1st Ave N,$1675 - 2650,2020-05-10,
True North, Seattle,WA,98109,801 Dexter Ave N,$1860 - 4940,2020-05-10,
Neptune, Seattle,WA,98109,912 Dexter Ave N,$1832 - 4840,2020-05-10,
Lighthouse Apartments, Seattle,WA,98106,7901 Delridge Way SW,$1755 - 3255,2020-05-10,
Coppins Well, Seattle,WA,98104,1000 Minor Ave,$1645 - 5710,2020-05-10,
Slate Apartments, Seattle,WA,98119,3040 17th Ave W,$1368 - 2889,2020-05-10,
Urbana, Seattle,WA,98107,1501 NW 56th St,$1739 - 3224,2020-05-10,
Washington Terrace Senior Affordable Apart..., Seattle,WA,98104,120 6th Ave S,$1309 - 1562,2020-05-10,
Metro on First, Seattle,WA,98119,215 1st Ave W,$1700 - 3833,2020-05-10,
Seventh and James, Seattle,WA,98104,600 7th Ave,$1471 - 2313,2020-05-10,
2300 Elliott, Seattle,WA,98121,2300 Elliott Ave,$1771 - 2575,2020-05-10,
Harrison Square, Seattle,WA,98119,312 2nd Ave W,$1647 - 3049,2020-05-10,
Taylor 28, Seattle,WA,98109,100 Taylor Ave N,$1863 - 3412,2020-05-10,
Cielo, Seattle,WA,98101,800 Seneca St,$1615 - 3601,2020-05-10,
Axle, Seattle,WA,98119,3230 16th Ave W,$1678 - 3393,2020-05-10,
John Winthrop Apartments, Seattle,WA,98101,1020 Seneca St,$1405,2020-05-10,
Aspira Apartments, Seattle,WA,98101,1823 Terry Ave,$1892 - 7731,2020-05-10,
LEVA On Market, Seattle,WA,98107,1545 NW Market St,$1569 - 4425,2020-05-10,
Adell Apartments, Seattle,WA,98116,4532 SW 42nd Ave,$1583 - 2325,2020-05-10,
Union Bay, Seattle,WA,98109,526 Yale Ave N,$1610 - 3193,2020-05-10,
Panorama Apartments, Seattle,WA,98101,1100 University St,$2050 - 5915,2020-05-10,
AMLI Wallingford, Seattle,WA,98103,1850 N 34th St,$2018 - 6823,2020-05-10,
Vantage Park Apartments, Seattle,WA,98122,1011 E Terrace St,$2555 - 2670,2020-05-10,
Moda, Seattle,WA,98121,2312 3rd Ave,$1362 - 2014,2020-05-10,
Chloe on Madison, Seattle,WA,98122,1401-1409 E Madison St,$1855,2020-05-10,
Three20, Seattle,WA,98122,320 E Pine St,$1692 - 2355,2020-05-10,
Junction 47, Seattle,WA,98116,4209 SW Alaska St,$1557 - 3068,2020-05-10,
The Pearl, Seattle,WA,98122,1530 15th Ave,$2055 - 2231,2020-05-10,
Uwajimaya Village, Seattle,WA,98104,521 S Weller St,$1975 - 2274,2020-05-10,
The Heights on Capitol Hill, Seattle,WA,98102,130 Harvard Ave E,$1652 - 3007,2020-05-10,
Springline, Seattle,WA,98116,3220 California Ave SW,$1513 - 2635,2020-05-10,
